AUCEC,Algorithm,Commits,Depth,Domain,EXAM,FixCount,Fixed,Future,ID,LOC,Missed,Origin,Project,Source,Choice,Time,Weighting,fn,fp,hdMax,hdMaxLOC,tn,tp
0.097544721339623,Linespots,6305,2000,25502020,0.024254392682087,30,0.1,1000,1,463593,0.9,2066,broadleafcommerce,Author,Random,time,google_weighting_function,71,23169,3.63317398119122,0.02752414294435,440343,10
0.099051358986582,Bugspots,6305,2000,25502020,0.009006702958078,30,0.1,1000,1,463593,0.9,2066,broadleafcommerce,Author,Random,time,google_weighting_function,71,23169,11.4978422619048,0.002899094680032,440343,10
0.09633086924666,Linespots,6305,2000,25502020,0.036389318504234,30,0.1,1000,2,463593,0.9,2066,broadleafcommerce,Author,Random,commit,google_weighting_function,73,23171,2.51038609411382,0.039834510012015,440341,8
0.09948169335315,Bugspots,6305,2000,25502020,0.004706954399896,30,0.1,1000,2,463593,0.9,2066,broadleafcommerce,Author,Random,commit,google_weighting_function,75,23173,21.1976680384088,0.001572500016178,440339,6
0.095752056940751,Linespots,6305,2000,25502020,0.041853881889215,30,0.1,1000,3,463593,0.9,2066,broadleafcommerce,Author,Random,time,linear_weighting_function,76,23174,2.20800628691179,0.045289726117521,440338,5
0.099257071037167,Bugspots,6305,2000,25502020,0.006958929731707,30,0.1,1000,3,463593,0.9,2066,broadleafcommerce,Author,Random,time,linear_weighting_function,75,23173,21.1686301369863,0.001574657080672,440339,6
0.095406207600201,Linespots,6305,2000,25502020,0.045311656273211,30,0.1,1000,4,463593,0.9,2066,broadleafcommerce,Author,Random,commit,linear_weighting_function,76,23174,2.05147800690327,0.048745343437024,440338,5
0.098965867330467,Bugspots,6305,2000,25502020,0.009870247777205,30,0.1,1000,4,463593,0.9,2066,broadleafcommerce,Author,Random,commit,linear_weighting_function,75,23173,21.1686301369863,0.001574657080672,440339,6
0.094036184037867,Linespots,6305,2000,25502020,0.061887198948695,30,0.1,1000,5,463593,0.9,2066,broadleafcommerce,Author,Random,time,flat_weighting_function,75,23173,1.23611614761092,0.08089854678565,440339,6
0.098223765242357,Bugspots,6305,2000,25502020,0.0166515791989,30,0.1,1000,5,463593,0.9,2066,broadleafcommerce,Author,Random,time,flat_weighting_function,71,23169,7.55468100708873,0.008824550845246,440343,10
0.094036184037867,Linespots,6305,2000,25502020,0.061887198948695,30,0.1,1000,6,463593,0.9,2066,broadleafcommerce,Author,Random,commit,flat_weighting_function,75,23173,1.23611614761092,0.08089854678565,440339,6
0.098223765242357,Bugspots,6305,2000,25502020,0.0166515791989,30,0.1,1000,6,463593,0.9,2066,broadleafcommerce,Author,Random,commit,flat_weighting_function,71,23169,7.55468100708873,0.008824550845246,440343,10
0.735302567143866,Linespots,6305,2000,25502020,0.039323318262296,88,1,1000,7,634313,0,5288,broadleafcommerce,Author,Random,time,google_weighting_function,2020,42007,135.151917613636,0.000252241401327,650424,397
0.711170177241147,Bugspots,6305,2000,25502020,0.09134572548627,88,1,1000,7,634313,0,5288,broadleafcommerce,Author,Random,time,google_weighting_function,2217,54514,26.6697359569458,0.004686960538409,637917,200
0.735830966300979,Linespots,6305,2000,25502020,0.038500654588958,88,1,1000,8,634313,0,5288,broadleafcommerce,Author,Random,commit,google_weighting_function,2020,42014,144.162045454545,0.000157650875829,650417,397
