AUCEC1,AUCEC100,AUCEC20,AUCEC5,AUROC,Algorithm,Depth,EInspect10,EInspect100,EInspect200,EInspect50,EInspectF,EXAM,FixCount,Future,LOC,Origin,Project,Runtime,Time,Weight,comit_version,commits,language,url
0.08546222578312047,0.7198445185886941,0.2699972121402172,0.11643673831561455,0.00011817427021520049,Linespots,500,0,0,0,0,0.00010500704253182852,0.28775849950857896,33,500,8215322,60696,mysql-server,30.007565021514893,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.024978748176734736,0.715813743899063,0.25514096702589306,0.07654496162547718,0.0013040095234577857,Bugspots,500,0,0,0,0,0.003521809613792366,0.2920204159693596,33,500,8215322,60696,mysql-server,0.005481958389282226,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.10615932490380386,0.7381100987800928,0.30526643919944857,0.1650726538032864,6.64127231989468e-05,Linespots,500,0,0,0,0,0.00010500704253182852,0.2653349837489241,73,1000,8215322,60696,mysql-server,0.1873295307159424,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.06760933193198852,0.7557356013537151,0.3366852514152711,0.1742630653540947,0.004965063722104819,Bugspots,500,0,1,1,0,1.1426070999897022e-05,0.24781420872851306,73,1000,8215322,60696,mysql-server,0.023793458938598636,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.25851694792711943,0.8620964659167831,0.5845266520925206,0.386183060077668,0.0006116200853520763,Linespots,500,0,0,1,0,8.500121247468135e-06,0.14177718029910602,65,500,20705587,128522,mysql-server,31.78672695159912,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.11020097206391977,0.8588522319592069,0.5538271953958669,0.3235834274798362,0.004898408153295432,Bugspots,500,0,0,0,0,0.00026751233857798864,0.1450828378368662,65,500,20705587,128522,mysql-server,0.040584564208984375,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.17231128427335973,0.8340629254044265,0.3916698661326939,0.22032799074192852,4.944318079579544e-05,Linespots,500,0,0,0,0,3.624979109292471e-05,0.17787702524467994,21,500,12320071,96145,mysql-server,17.130369186401367,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.13484694356903168,0.8256221293872011,0.41666843215742905,0.2702358832067625,0.0014032217920218698,Bugspots,500,0,0,0,0,0.0006183405923553523,0.18654348472997176,21,500,12320071,96145,mysql-server,0.025145769119262692,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.1127544171601982,0.8166852352872542,0.3652212566329141,0.21167359691989152,3.3216265012162675e-05,Linespots,500,0,0,0,0,3.624979109292471e-05,0.18843893802196984,49,1000,12320071,96145,mysql-server,0.15004730224609375,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.07724975855981199,0.8139809668000312,0.3783813032093304,0.20220369746042688,0.0016408432695230461,Bugspots,500,0,0,0,0,0.0004945192438519185,0.19123990360947726,49,1000,12320071,96145,mysql-server,0.033868074417114265,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.15336928795997784,0.7862411829128434,0.4231512104370214,0.2665212121104176,5.189443665468123e-05,Linespots,500,0,1,1,1,2.06930416117591e-06,0.21604702394386,111,1500,8215322,60696,mysql-server,0.18780755996704104,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.05266165045293917,0.7849559463220791,0.3940315501174994,0.15626271019331928,0.00187487484299402,Bugspots,500,0,1,1,0,1.1426070999897022e-05,0.217400936843858,111,1500,8215322,60696,mysql-server,0.023997068405151367,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.09296341259224444,0.8224572852189665,0.3990083571147777,0.22214899710757005,2.7776476066285565e-05,Linespots,500,0,0,0,0,3.624979109292471e-05,0.18118934578141124,69,1500,12320071,96145,mysql-server,0.15759491920471191,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.09501395371967382,0.8150655102017752,0.398879878002417,0.2006794035975156,0.0015861839335739993,Bugspots,500,0,0,0,0,0.0004945192438519185,0.18864968743800084,69,1500,12320071,96145,mysql-server,0.0342411994934082,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.2376669298277246,0.8477885521954753,0.5320262959246107,0.3539612572442057,0.00044352913151254653,Linespots,500,0,0,1,0,8.500121247468135e-06,0.15457508715076446,107,1000,20705587,128522,mysql-server,39.4245924949646,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.10965048084423919,0.850814525478404,0.5183382331391856,0.30273616105630824,0.004099171775023784,Bugspots,500,0,0,0,0,0.00026751233857798864,0.1515865194599679,107,1000,20705587,128522,mysql-server,0.01385188102722168,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.21948591181813099,0.836432282805608,0.5043417880476019,0.3311173811137648,0.0003316276162802053,Linespots,500,0,0,1,0,8.500121247468135e-06,0.1653229678496265,145,1500,20705587,128522,mysql-server,0.4141247272491455,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.10732343437249148,0.8417304763673328,0.5048383243182721,0.29140145161983105,0.0031875910689877253,Bugspots,500,0,1,1,1,1.980141881512463e-06,0.16005248365697178,145,1500,20705587,128522,mysql-server,0.06226468086242676,commit,google,None,156888,C++,https://github.com/mysql/mysql-server.git
0.14272087607155245,0.908091163423236,0.5926633790725044,0.25730480325270483,0.0024213123852644346,Linespots,500,0,0,0,0,0.00651186790505676,0.12186856890535758,7,500,290700,809,woocommerce,39.983964920043945,commit,google,None,34443,PHP,https://github.com/woocommerce/woocommerce.git
